Start Time, Fri Apr 10 12:04:11 GMT-0400 2026
Energy calibration,  Offset: -168.54302978515625, Slope: 0.9260296821594238, Quadratic: 0
Live Time (s), 120
Real Time (s), 130.731314
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
368, 172.23589324951172, 883
369, 173.16192293167114, 847
370, 174.08795261383057, 860
371, 175.01398229599, 826
372, 175.9400119781494, 799
373, 176.86604166030884, 841
374, 177.79207134246826, 768
375, 178.71810102462769, 820
376, 179.6441307067871, 773
377, 180.57016038894653, 781
378, 181.49619007110596, 786
379, 182.42221975326538, 751
380, 183.3482494354248, 771
381, 184.27427911758423, 802
382, 185.20030879974365, 723
383, 186.12633848190308, 793
384, 187.0523681640625, 794
385, 187.97839784622192, 751
386, 188.90442752838135, 782
387, 189.83045721054077, 767
388, 190.7564868927002, 741
389, 191.68251657485962, 730
390, 192.60854625701904, 794
391, 193.53457593917847, 746
392, 194.4606056213379, 732
393, 195.38663530349731, 724
394, 196.31266498565674, 722
395, 197.23869466781616, 744
396, 198.1647243499756, 776
397, 199.090754032135, 754
398, 200.01678371429443, 727
399, 200.94281339645386, 735
400, 201.86884307861328, 777
401, 202.7948727607727, 747
402, 203.72090244293213, 725
403, 204.64693212509155, 721
404, 205.57296180725098, 760
405, 206.4989914894104, 769
406, 207.42502117156982, 762
407, 208.35105085372925, 713
408, 209.27708053588867, 716
409, 210.2031102180481, 720
410, 211.12913990020752, 748
411, 212.05516958236694, 762
412, 212.98119926452637, 725
413, 213.9072289466858, 748
414, 214.83325862884521, 754
415, 215.75928831100464, 730
416, 216.68531799316406, 718
417, 217.6113476753235, 750
418, 218.5373773574829, 709
419, 219.46340703964233, 750
420, 220.38943672180176, 707
421, 221.31546640396118, 732
422, 222.2414960861206, 702
423, 223.16752576828003, 720
424, 224.09355545043945, 669
425, 225.01958513259888, 698
426, 225.9456148147583, 714
427, 226.87164449691772, 737
428, 227.79767417907715, 710
429, 228.72370386123657, 737
430, 229.649733543396, 726
431, 230.57576322555542, 745
432, 231.50179290771484, 775
433, 232.42782258987427, 745
434, 233.3538522720337, 744
435, 234.27988195419312, 756
436, 235.20591163635254, 779
437, 236.13194131851196, 830
438, 237.0579710006714, 792
439, 237.9840006828308, 828
440, 238.91003036499023, 810
441, 239.83606004714966, 886
442, 240.76208972930908, 897
443, 241.6881194114685, 885
444, 242.61414909362793, 908
445, 243.54017877578735, 924
446, 244.46620845794678, 894
447, 245.3922381401062, 981
448, 246.31826782226563, 1003
449, 247.24429750442505, 1051
450, 248.17032718658447, 1073
451, 249.0963568687439, 1075
452, 250.02238655090332, 1056
453, 250.94841623306274, 1126
454, 251.87444591522217, 1212
455, 252.8004755973816, 1220
456, 253.72650527954102, 1198
457, 254.65253496170044, 1211
458, 255.57856464385986, 1370
459, 256.5045943260193, 1310
460, 257.4306240081787, 1307
461, 258.35665369033813, 1424
462, 259.28268337249756, 1437
463, 260.208713054657, 1394
464, 261.1347427368164, 1445
465, 262.06077241897583, 1463
466, 262.98680210113525, 1483
467, 263.9128317832947, 1530
468, 264.8388614654541, 1556
469, 265.7648911476135, 1523
470, 266.69092082977295, 1653
471, 267.6169505119324, 1597
472, 268.5429801940918, 1587
473, 269.4690098762512, 1586
474, 270.39503955841064, 1655
475, 271.32106924057007, 1645
476, 272.2470989227295, 1580
477, 273.1731286048889, 1607
478, 274.09915828704834, 1609
479, 275.02518796920776, 1675
480, 275.9512176513672, 1653
481, 276.8772473335266, 1640
482, 277.80327701568604, 1579
483, 278.72930669784546, 1630
484, 279.6553363800049, 1505
485, 280.5813660621643, 1497
486, 281.50739574432373, 1527
487, 282.43342542648315, 1485
488, 283.3594551086426, 1444
489, 284.285484790802, 1411
490, 285.2115144729614, 1435
491, 286.13754415512085, 1343
492, 287.0635738372803, 1357
493, 287.9896035194397, 1335
494, 288.9156332015991, 1288
495, 289.84166288375854, 1203
496, 290.76769256591797, 1163
497, 291.6937222480774, 1196
498, 292.6197519302368, 1138
499, 293.54578161239624, 1149
500, 294.47181129455566, 1033
501, 295.3978409767151, 1045
502, 296.3238706588745, 998
503, 297.24990034103394, 1006
504, 298.17593002319336, 935
505, 299.1019597053528, 923
506, 300.0279893875122, 926
507, 300.95401906967163, 862
508, 301.88004875183105, 870
509, 302.8060784339905, 827
510, 303.7321081161499, 796
511, 304.6581377983093, 784
512, 305.58416748046875, 792
513, 306.5101971626282, 792
514, 307.4362268447876, 728
515, 308.362256526947, 639
516, 309.28828620910645, 646
517, 310.21431589126587, 643
518, 311.1403455734253, 652
519, 312.0663752555847, 646
520, 312.99240493774414, 636
521, 313.91843461990356, 643
522, 314.844464302063, 645
523, 315.7704939842224, 632
524, 316.69652366638184, 602
525, 317.62255334854126, 613
526, 318.5485830307007, 563
527, 319.4746127128601, 594
528, 320.40064239501953, 558
529, 321.32667207717896, 624
530, 322.2527017593384, 578
531, 323.1787314414978, 515
532, 324.1047611236572, 582
533, 325.03079080581665, 591
534, 325.9568204879761, 516
535, 326.8828501701355, 554
536, 327.8088798522949, 540
537, 328.73490953445435, 529
538, 329.66093921661377, 551
539, 330.5869688987732, 568
540, 331.5129985809326, 562
541, 332.43902826309204, 494
542, 333.36505794525146, 528
543, 334.2910876274109, 561
544, 335.2171173095703, 530
545, 336.14314699172974, 556
546, 337.06917667388916, 522
547, 337.9952063560486, 563
548, 338.921236038208, 547
549, 339.84726572036743, 559
550, 340.77329540252686, 518
551, 341.6993250846863, 571
552, 342.6253547668457, 551
553, 343.5513844490051, 552
554, 344.47741413116455, 532
555, 345.403443813324, 554
556, 346.3294734954834, 541
557, 347.2555031776428, 520
558, 348.18153285980225, 519
559, 349.10756254196167, 538
560, 350.0335922241211, 557
561, 350.9596219062805, 537
562, 351.88565158843994, 569
563, 352.81168127059937, 529
564, 353.7377109527588, 532
565, 354.6637406349182, 572
566, 355.58977031707764, 508
567, 356.51579999923706, 494
568, 357.4418296813965, 527
569, 358.3678593635559, 572
570, 359.29388904571533, 581
571, 360.21991872787476, 565
572, 361.1459484100342, 550
573, 362.0719780921936, 537
574, 362.998007774353, 545
575, 363.92403745651245, 545
576, 364.8500671386719, 496
577, 365.7760968208313, 531
578, 366.7021265029907, 592
579, 367.62815618515015, 533
580, 368.55418586730957, 516
581, 369.480215549469, 532
582, 370.4062452316284, 514
583, 371.33227491378784, 533
584, 372.25830459594727, 510
585, 373.1843342781067, 546
586, 374.1103639602661, 526
587, 375.03639364242554, 495
588, 375.96242332458496, 585
589, 376.8884530067444, 543
590, 377.8144826889038, 544
591, 378.74051237106323, 497
592, 379.66654205322266, 525
593, 380.5925717353821, 566
594, 381.5186014175415, 565
595, 382.4446310997009, 525
596, 383.37066078186035, 559
597, 384.2966904640198, 558
598, 385.2227201461792, 482
599, 386.1487498283386, 535
600, 387.07477951049805, 522
601, 388.00080919265747, 504
602, 388.9268388748169, 526
603, 389.8528685569763, 502
604, 390.77889823913574, 575
605, 391.70492792129517, 563
606, 392.6309576034546, 533
607, 393.556987285614, 550
608, 394.48301696777344, 533
609, 395.40904664993286, 501
610, 396.3350763320923, 487
611, 397.2611060142517, 507
612, 398.18713569641113, 521
613, 399.11316537857056, 505
614, 400.03919506073, 541
615, 400.9652247428894, 515
616, 401.8912544250488, 521
617, 402.81728410720825, 483
618, 403.7433137893677, 497
619, 404.6693434715271, 550
620, 405.5953731536865, 505
621, 406.52140283584595, 525
622, 407.44743251800537, 498
623, 408.3734622001648, 547
624, 409.2994918823242, 502
625, 410.22552156448364, 475
626, 411.15155124664307, 498
627, 412.0775809288025, 487
628, 413.0036106109619, 516
629, 413.92964029312134, 484
630, 414.85566997528076, 494
631, 415.7816996574402, 465
632, 416.7077293395996, 487
633, 417.63375902175903, 477
634, 418.55978870391846, 478
635, 419.4858183860779, 462
636, 420.4118480682373, 465
637, 421.33787775039673, 514
638, 422.26390743255615, 459
639, 423.1899371147156, 464
640, 424.115966796875, 476
641, 425.0419964790344, 464
642, 425.96802616119385, 511
643, 426.89405584335327, 446
644, 427.8200855255127, 441
645, 428.7461152076721, 505
646, 429.67214488983154, 478
647, 430.59817457199097, 485
648, 431.5242042541504, 447
649, 432.4502339363098, 452
650, 433.37626361846924, 439
651, 434.30229330062866, 459
652, 435.2283229827881, 496
653, 436.1543526649475, 423
654, 437.08038234710693, 462
655, 438.00641202926636, 459
656, 438.9324417114258, 453
657, 439.8584713935852, 464
658, 440.78450107574463, 478
